"CLOSING_PRICE","AVERAGE_CLOSING_PRICE","SELLERS_INVENTORY","BUYERS_INVENTORY","VOLUME_TRADED","VOLUME_CONSUMED","VOLUME_PRODUCED","DEMAND_GAP","SUPPLY_GAP","CASH_PRODUCED","CASH_RESERVES","TOTAL_INVENTORY"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
"-1.0","NaN","0.0","0.0","0.0","0.0","0.0","-100.0","5000.0","0.0","2.51E9","0.0"
