"buyerDelay","sellerDelay","gap","successes","deviation","variance"
0,0,7,5,83690.4,56471
0,0,5,5,96315,65973.8
0,0,8,5,79320.6,54773.6
0,0,6,5,89464.2,60268
0,0,9,5,69763.4,49617.4
0,0,11,5,60612.6,43500.6
0,0,10,5,63617.8,44279.6
0,0,12,5,50917.6,39706.4
0,0,14,5,53774.6,34846.8
0,0,13,5,56374.6,36407
0,1,7,5,91601,55668.6
0,1,9,5,76380.6,48363.4
0,1,5,5,96768.4,62886.6
0,1,8,5,79968.6,56290
0,1,6,5,92354.8,57653.6
0,1,10,5,72159.2,47199.6
0,1,12,5,59445.8,40792.4
0,1,13,5,54866.4,39595
0,1,11,5,67158.8,47875.4
0,1,14,5,48850,35146.8
0,2,5,5,89650.8,85915
0,2,8,5,70102.6,76154.8
0,2,6,5,99125.2,76715.2
0,2,9,5,75585.2,71777.4
0,2,7,5,80763.8,69157.4
0,2,10,5,73170.6,61672.4
0,2,12,5,50538.6,61310.8
0,2,11,5,54317,60902.6
0,2,13,5,61043.4,51967
0,2,14,5,44684.4,47724.8
0,3,5,5,101947.4,79572.6
0,3,7,5,91798.6,74099.8
0,3,6,5,111258.6,76008.8
0,3,9,5,79772,64457.8
0,3,8,5,106441.4,64959.6
0,3,10,5,60422.2,61751.6
0,3,11,5,71500.2,56625.4
0,3,12,5,58567.4,52299.6
0,3,14,5,56472.4,46211.6
0,3,13,5,55829.2,49923
0,4,5,5,90022.8,78884.6
0,4,6,5,79663.6,72816.8
0,4,7,5,82443.2,64989.4
0,4,8,5,106214.2,66865.6
0,4,9,5,69406,62374.2
0,4,10,5,75520,58699.2
0,4,11,5,68116,54810.2
0,4,12,5,54489.6,50048.8
0,4,14,5,60781.2,45037.6
0,4,13,5,44246.4,45885.4
0,5,5,5,138525,76495
0,5,6,5,111737.4,72650.4
0,5,7,5,57529.4,66843.8
0,5,9,5,98931.4,59925.8
0,5,8,5,111259,64932.4
0,5,12,5,78594.2,51955.2
0,5,10,5,76167.4,55801.6
0,5,13,5,62700,47449
0,5,11,5,51108.6,50713.8
0,5,14,5,38225,42133.6
0,6,5,5,131489.8,73129
0,6,8,5,88319.6,62180
0,6,6,5,99960.6,70577.6
0,6,7,5,78066.4,64714.2
0,6,9,5,95493.4,57601.4
0,6,13,5,65901.6,46300.6
0,6,10,5,61916.4,55232.8
0,6,12,5,49322.6,46048.4
0,6,11,5,61382.8,51642.2
0,6,14,5,38913.4,40971.2
0,7,5,5,189298.6,76343.8
0,7,7,5,133454.2,65923
0,7,8,5,99419.2,61774
0,7,6,5,204653.4,75135.6
0,7,9,5,100574.6,56245
0,7,10,5,80765.2,53151.6
0,7,11,5,79223,52193.8
0,7,12,5,86088,47073.2
0,7,13,5,53529,43763
0,7,14,5,67544.2,42250.4
0,8,5,5,115158.6,72985
0,8,8,5,75221.6,57874.8
0,8,6,5,86063,67998.8
0,8,7,5,120183.4,65069.8
0,8,9,5,126858.8,56372.6
0,8,10,5,72811.6,51810.4
0,8,11,5,76128.4,49238.2
0,8,13,5,44784,42245.4
0,8,12,5,57669,46675.6
0,8,14,5,48709,39540.8
0,9,8,5,55371.8,51220.8
0,9,5,5,201611.2,75776.6
0,9,6,5,154793.4,70151.6
0,9,9,5,88653.2,54768.6
0,9,7,5,203028.2,66817
0,9,11,5,98976.4,50727.4
0,9,10,5,104903.6,54804.4
0,9,13,5,59611.4,40477
0,9,14,5,83590.4,40568.4
0,9,12,5,123226.6,48278.8
0,10,6,5,107323.4,66491.6
0,10,5,5,157946,71267.4
0,10,8,5,128545.2,58473.6
0,10,7,5,198895.4,68411.8
0,10,9,5,142791.8,56653
0,10,13,5,69625.2,34598.2
0,10,10,5,95234,45510.4
0,10,11,5,69688.2,48076.2
0,10,12,5,128344.8,49416.4
0,10,14,5,90850.2,43500.8
0,11,7,5,121143.6,53816.2
0,11,5,5,252238,72515.8
0,11,6,5,183134.6,68403.6
0,11,8,5,78755,54496.8
0,11,9,5,118637.2,50880.2
0,11,11,5,66891.8,43431.4
0,11,10,5,151238.4,53696
0,11,12,5,86503.6,44907.6
0,11,13,5,67432.6,41977.8
0,11,14,5,92444.4,37425.6
0,12,5,5,108694.4,64344.6
0,12,6,5,128243.2,61316.8
0,12,7,5,174787.4,63223.8
0,12,8,5,162239.2,60530.8
0,12,9,5,154026.6,55684.6
0,12,10,5,126506.4,51619.6
0,12,11,5,137096.2,48951.8
0,12,12,5,92220,44888.8
0,12,13,5,87391.4,41242.6
0,12,14,5,63656.6,37645.2
0,13,5,5,168819,65331.8
0,13,6,5,107236,64269.6
0,13,7,5,169134.4,55203.4
0,13,9,5,70796,49063.4
0,13,8,5,238914.6,58756.8
0,13,10,5,68275.8,41044.4
0,13,11,5,94585.4,41828.6
0,13,12,5,141814,44555.6
0,13,14,5,87868,35015.6
0,13,13,5,99373,43849
0,14,5,5,138558,61651
0,14,6,5,129417.4,57044.4
0,14,7,5,207312.6,59948.6
0,14,9,5,120593,50546.6
0,14,8,5,211183,56691.6
0,14,10,5,198021.2,52917.6
0,14,13,5,111067.2,37529.8
0,14,11,5,133633,51208.6
0,14,12,5,36152.6,41814.8
0,14,14,5,111271,40106.8
0,15,6,5,53272.6,49296.8
0,15,7,5,100698.8,49514.6
0,15,5,5,162567,58072.6
0,15,8,5,142805.4,57023.2
0,15,9,5,157841.4,48904.2
0,15,11,5,92096.4,45196.6
0,15,13,5,47137.2,36706.6
0,15,10,5,187643.6,53395.6
0,15,12,5,178553,49019.6
0,15,14,5,82663,38544
0,16,5,5,200953.6,59541.4
0,16,7,5,107494,52651
0,16,8,5,130371.8,46703.6
0,16,6,5,260557.8,69686.4
0,16,9,5,261512.6,60152.2
0,16,11,5,104692,43400.6
0,16,10,5,91880.8,46787.2
0,16,13,5,108335.2,41191
0,16,12,5,119126.4,46135.6
0,16,14,5,61430.4,37952
0,17,5,5,242957.2,59343.8
0,17,6,5,221374.2,58203.2
0,17,8,5,151997.6,55997.6
0,17,7,5,203258.8,61779.4
0,17,9,5,134651,49560.6
0,17,10,5,149221.8,48173.6
0,17,13,5,101193.2,32212.6
0,17,11,5,107554.6,49853.4
0,17,12,5,174536.2,36484
0,17,14,5,42854.2,36464.8
0,18,5,5,102799,54657.8
0,18,7,5,139330.2,48923
0,18,6,5,213314,61711.2
0,18,8,5,124984,51143.6
0,18,9,5,285499.4,60402.6
0,18,10,5,143710.2,41334
0,18,13,5,110687.4,37347
0,18,11,5,160368.2,46744.2
0,18,12,5,143479.6,39856.8
0,18,14,5,145117.2,40153.2
0,19,5,5,102376.8,55997.4
0,19,8,5,88959.2,42960
0,19,6,5,140387.6,57035.6
0,19,7,5,228874.2,54370.2
0,19,9,5,219815.6,48065.4
0,19,11,5,70444.2,42263.8
0,19,13,5,76696.4,34813.4
0,19,12,5,74333.6,41787.2
0,19,10,5,241963.2,56414.8
0,20,6,5,160646.4,52803.2
0,19,14,5,99816.8,40048
0,20,5,5,152920.2,57201
0,20,7,5,324810.4,59830.2
0,20,8,5,267565.4,64348.4
0,20,10,5,221921.6,50716.8
0,20,12,5,102062.2,35556.4
0,20,9,5,283680.6,60018.2
0,20,11,5,169299.4,51668.6
0,20,13,5,98173.6,35899.8
0,20,14,5,113864,36985.6
0,21,5,5,280861.8,61124.2
0,21,7,5,207868.8,53319
0,21,8,5,92543.6,49646.4
0,21,6,5,392220.4,69913.6
0,21,9,5,170671.2,49365
0,21,11,5,117945.2,40033.8
0,21,10,5,89186.6,47062
0,21,12,5,187249,45826.4
0,21,13,5,159400.2,44355
0,21,14,5,22022.6,32016
0,22,5,5,122296.2,56455.4
0,22,7,5,114834.6,42523.4
0,22,6,5,313125.4,69104.8
0,22,9,5,88636.6,43161
0,22,8,5,334027.8,63159.6
0,22,11,5,97774.8,42783.4
0,22,12,5,86960,35786.4
0,22,10,5,294568.6,55382.8
0,22,13,5,136408.2,39685.8
0,22,14,5,188769.4,40329.6
0,23,6,5,159944.2,57812.8
0,23,7,5,165352.8,57877.4
0,23,5,5,333401.6,63825.8
0,23,8,5,105684.2,54000
0,23,9,5,94783.2,44835
0,23,10,5,173764.6,53614.8
0,23,12,5,167308.4,37581.6
0,23,13,5,129623.6,39251.4
0,23,11,5,298696.6,51778.2
0,23,14,5,173691.8,37900
0,24,6,5,216791,51691.6
0,24,5,5,326177.8,65412.2
0,24,7,5,329985.2,58896.2
0,24,8,5,213656.8,55316
0,24,9,5,340964.2,51706.6
0,24,10,5,226601.2,51654
0,24,12,5,177963,42735.6
0,24,11,5,225074.8,52029.4
0,24,14,5,60830.4,31216
0,24,13,5,198279,46659.4
0,25,5,5,363337.2,73600.6
0,25,7,5,149747,57626.2
0,25,6,5,409648.2,65654.8
0,25,8,5,261832.6,56409.6
0,25,9,5,336385.8,43919.8
0,25,10,5,95482.8,44938.4
0,25,11,5,121842,40879.8
0,25,12,5,118751.2,33786.8
0,25,13,5,133844.4,36941.8
0,25,14,5,250188.8,33065.6
0,26,8,5,122004.8,37344
0,26,6,5,271705,59078
0,26,5,5,364163,68852.6
0,26,7,5,201735.8,53129.8
0,26,9,5,210175.8,48463.4
0,26,12,5,80717,37055.6
0,26,11,5,122729.2,39899.8
0,26,14,5,153874,19636
0,26,13,5,91575.8,41362.6
0,26,10,5,329980.8,50378.4
0,27,8,5,102455,43140
0,27,5,5,198492.6,50809
0,27,6,5,217312,50574.4
0,27,7,5,230857.8,63108.6
0,27,9,5,190800.8,54261.4
0,27,12,5,156989,32414.4
0,27,10,5,192847.2,50627.2
0,27,13,5,92590.4,32187.8
0,27,11,5,230492.6,50634.2
0,27,14,5,187129,36850.4
0,28,8,5,157912.6,30796.4
0,28,5,5,284926,65494.2
0,28,6,5,283281.8,58115.6
0,28,7,5,375093.4,48592.6
0,28,9,5,359727.2,55527
0,28,11,5,190755.2,39021.8
0,28,12,5,210483.4,37798.8
0,28,10,5,430578,51020.4
0,28,13,5,199415.8,46096.6
0,28,14,5,200511.4,33355.2
0,29,5,5,112283.2,55127
0,29,7,5,58640.6,44206.2
0,29,6,5,412924.8,65944.8
0,29,8,5,353554.2,56909.6
0,29,9,5,333832.6,58478.6
0,29,10,5,207264.2,43694.4
0,29,11,5,231910.8,45245
0,29,13,5,83273,28164.2
0,29,12,5,117663.4,45125.2
0,29,14,5,130573,35730.4
0,30,5,5,278283,54112.6
0,30,6,5,275445.6,59585.6
0,30,7,5,337803.4,53402.2
0,30,8,5,287386.2,59645.2
0,30,9,5,287499,44074.2
0,30,10,5,175793.8,35250.8
0,30,11,5,65654.4,34418.2
0,30,13,5,58917.8,30261
0,30,12,5,112406,44471.2
0,30,14,5,197748,33486.8
0,31,6,5,211006,55566
0,31,5,5,594833.2,65451
0,31,7,5,196379.4,52280.6
0,31,8,5,301183.8,52899.2
0,31,10,5,222487.2,37303.6
0,31,9,5,373662,50952.2
0,31,11,5,211191.2,36770.6
0,31,12,5,225761.4,39742.8
0,31,13,5,308734.8,39616.2
0,31,14,5,171443.4,35695.6
0,32,6,5,276182.2,55176.8
0,32,5,5,484766.2,76565
0,32,7,5,310258,53646.2
0,32,9,5,168669,44084.6
0,32,8,5,297924,56503.2
0,32,10,5,248522.4,47598.4
0,32,11,5,235570,41159.8
0,32,13,5,203072.4,32670.2
0,32,12,5,229868.6,36622
0,32,14,5,118602.2,41256.4
0,33,6,5,237084,48260.8
0,33,8,5,168317.8,44262.8
0,33,5,5,534636.6,65822.2
0,33,11,5,88466.6,27948.6
0,33,9,5,385269.8,50439.8
0,33,7,5,661744,68391
0,33,10,5,363223.2,38869.6
0,33,13,5,212583.8,31442.6
0,33,12,5,259681.8,43384.8
0,34,5,5,128271,50555
0,33,14,5,192408.6,36497.2
0,34,6,5,291762,50983.6
0,34,8,5,141907.2,52416
0,34,7,5,273022,56230.6
0,34,9,5,138379.4,46679.4
0,34,10,5,214107.4,42984.4
0,34,12,5,146606,31366
0,34,14,5,199077.6,27598.4
0,34,11,5,320392.6,49211
0,34,13,5,165708.2,41855.4
0,35,5,5,388750.8,66913.4
0,35,7,5,105666.2,31088.2
0,35,8,5,183400.6,32989.6
0,35,6,5,436503.4,64840.8
0,35,10,5,204024.4,38776.8
