time,r,inflation,unemployment
1999-01-01,4.5,0.8,9.9
1999-02-01,4.5,0.8,9.8
1999-03-01,4.5,1,9.8
1999-04-01,3.5,1.1,9.8
1999-05-01,3.5,1,9.7
1999-06-01,3.5,0.9,9.6
1999-07-01,3.5,1.1,9.5
1999-08-01,3.5,1.2,9.5
1999-09-01,3.5,1.2,9.4
1999-10-01,3.5,1.4,9.3
1999-11-01,4,1.5,9.3
1999-12-01,4,1.7,9.2
2000-01-01,4,1.9,9.1
2000-02-01,4.25,1.9,9.1
2000-03-01,4.5,1.9,9
2000-04-01,4.75,1.7,8.9
2000-05-01,4.75,1.7,8.8
2000-06-01,5.25,2.1,8.8
2000-07-01,5.25,2,8.7
2000-08-01,5.25,2,8.6
2000-09-01,5.5,2.5,8.5
2000-10-01,5.75,2.4,8.4
2000-11-01,5.75,2.5,8.4
2000-12-01,5.75,2.5,8.3
2001-01-01,5.75,2,8.2
2001-02-01,5.75,1.9,8.2
2001-03-01,5.75,2.2,8.1
2001-04-01,5.75,2.7,8.1
2001-05-01,5.5,3.1,8.1
2001-06-01,5.5,2.8,8.1
2001-07-01,5.5,2.6,8.1
2001-08-01,5.25,2.3,8.1
2001-09-01,4.75,2.2,8.1
2001-10-01,4.75,2.2,8.2
2001-11-01,4.25,2,8.2
2001-12-01,4.25,2,8.3
2002-01-01,4.25,2.6,8.2
2002-02-01,4.25,2.5,8.3
2002-03-01,4.25,2.5,8.3
2002-04-01,4.25,2.3,8.4
2002-05-01,4.25,2,8.5
2002-06-01,4.25,1.9,8.5
2002-07-01,4.25,2,8.6
2002-08-01,4.25,2.1,8.6
2002-09-01,4.25,2.1,8.7
2002-10-01,4.25,2.3,8.7
2002-11-01,4.25,2.3,8.8
2002-12-01,3.75,2.3,8.8
2003-01-01,3.75,2.1,8.9
2003-02-01,3.75,2.4,9
2003-03-01,3.5,2.5,9
2003-04-01,3.5,2.1,9
2003-05-01,3.5,1.8,9
2003-06-01,3,1.9,9.1
2003-07-01,3,1.9,9
2003-08-01,3,2.1,9
2003-09-01,3,2.2,9
2003-10-01,3,2,9
2003-11-01,3,2.2,9.1
2003-12-01,3,2,9.1
2004-01-01,3,1.9,9.2
2004-02-01,3,1.6,9.2
2004-03-01,3,1.7,9.2
2004-04-01,3,2,9.2
2004-05-01,3,2.5,9.2
2004-06-01,3,2.4,9.2
2004-07-01,3,2.3,9.3
2004-08-01,3,2.3,9.3
2004-09-01,3,2.1,9.3
2004-10-01,3,2.4,9.3
2004-11-01,3,2.2,9.4
2004-12-01,3,2.4,9.4
2005-01-01,3,1.9,9.3
2005-02-01,3,2.1,9.3
2005-03-01,3,2.1,9.3
2005-04-01,3,2.1,9.3
2005-05-01,3,2,9.2
2005-06-01,3,2.1,9.2
2005-07-01,3,2.2,9.2
2005-08-01,3,2.2,9.1
2005-09-01,3,2.6,9.1
2005-10-01,3,2.5,9.1
2005-11-01,3,2.3,9
2005-12-01,3.25,2.2,9
2006-01-01,3.5,2.4,8.9
2006-02-01,3.5,2.3,8.8
2006-03-01,3.5,2.2,8.7
2006-04-01,3.75,2.5,8.6
2006-05-01,3.75,2.5,8.6
2006-06-01,3.75,2.5,8.5
2006-07-01,4,2.4,8.4
2006-08-01,4,2.3,8.4
