date,rent
1956-01-01,1.33805
1956-02-01,1.33656
1956-03-01,1.33507
1956-04-01,1.33680
1956-05-01,1.33555
1956-06-01,1.33333
1956-07-01,1.33382
1956-08-01,1.33285
1956-09-01,1.33455
1956-10-01,1.32679
1956-11-01,1.33043
1956-12-01,1.32827
1957-01-01,1.32635
1957-02-01,1.32014
1957-03-01,1.31730
1957-04-01,1.31758
1957-05-01,1.31429
1957-06-01,1.31270
1957-07-01,1.31252
1957-08-01,1.30835
1957-09-01,1.31003
1957-10-01,1.31356
1957-11-01,1.31292
1957-12-01,1.31015
1958-01-01,1.30587
1958-02-01,1.30314
1958-03-01,1.29893
1958-04-01,1.29924
1958-05-01,1.29924
1958-06-01,1.30059
1958-07-01,1.30149
1958-08-01,1.30270
1958-09-01,1.30751
1958-10-01,1.30751
1958-11-01,1.30570
1958-12-01,1.30825
1959-01-01,1.30645
1959-02-01,1.31034
1959-03-01,1.31170
1959-04-01,1.31470
1959-05-01,1.31198
1959-06-01,1.30883
1959-07-01,1.30703
1959-08-01,1.30912
1959-09-01,1.30940
1959-10-01,1.30835
1959-11-01,1.30835
1959-12-01,1.30908
1960-01-01,1.31086
1960-02-01,1.30908
1960-03-01,1.31248
1960-04-01,1.31009
1960-05-01,1.30876
1960-06-01,1.30699
1960-07-01,1.30964
1960-08-01,1.31037
1960-09-01,1.31037
1960-10-01,1.30756
1960-11-01,1.30960
1960-12-01,1.30829
1961-01-01,1.30697
1961-02-01,1.31032
1961-03-01,1.31032
1961-04-01,1.31499
1961-05-01,1.31367
1961-06-01,1.31367
1961-07-01,1.31016
1961-08-01,1.30929
1961-09-01,1.31087
1961-10-01,1.31421
1961-11-01,1.31421
1961-12-01,1.31623
1962-01-01,1.31491
1962-02-01,1.31186
1962-03-01,1.31256
1962-04-01,1.31082
1962-05-01,1.31283
1962-06-01,1.31413
1962-07-01,1.31370
1962-08-01,1.31440
1962-09-01,1.30835
1962-10-01,1.31336
1962-11-01,1.31336
1962-12-01,1.31336
1963-01-01,1.31406
1963-02-01,1.31234
1963-03-01,1.31105
1963-04-01,1.31234
1963-05-01,1.31105
1963-06-01,1.31003
1963-07-01,1.30661
1963-08-01,1.30407
1963-09-01,1.30859
1963-10-01,1.31057
1963-11-01,1.30929
1963-12-01,1.30505
1964-01-01,1.30252
1964-02-01,1.30702
1964-03-01,1.30575
1964-04-01,1.30856
1964-05-01,1.30730
1964-06-01,1.30603
1964-07-01,1.30561
1964-08-01,1.30757
1964-09-01,1.30631
1964-10-01,1.30784
1964-11-01,1.30407
1964-12-01,1.30240
1965-01-01,1.30115
1965-02-01,1.30435
1965-03-01,1.30310
1965-04-01,1.30338
1965-05-01,1.29924
1965-06-01,1.29389
1965-07-01,1.29512
1965-08-01,1.29952
1965-09-01,1.29665
1965-10-01,1.29858
1965-11-01,1.29449
1965-12-01,1.29042
1966-01-01,1.29235
1966-02-01,1.28741
1966-03-01,1.28341
1966-04-01,1.28253
1966-05-01,1.27975
1966-06-01,1.27857
1966-07-01,1.27581
1966-08-01,1.27412
1966-09-01,1.27023
1966-10-01,1.26941
1966-11-01,1.27129
1966-12-01,1.26974
1967-01-01,1.27356
1967-02-01,1.27273
1967-03-01,1.27273
1967-04-01,1.27190
1967-05-01,1.27190
1967-06-01,1.26727
1967-07-01,1.26347
1967-08-01,1.26269
1967-09-01,1.26190
1967-10-01,1.26113
1967-11-01,1.25369
1967-12-01,1.25588
1968-01-01,1.25220
1968-02-01,1.25146
1968-03-01,1.25073
1968-04-01,1.25000
1968-05-01,1.24928
1968-06-01,1.24496
1968-07-01,1.24069
1968-08-01,1.24000
1968-09-01,1.23932
1968-10-01,1.23513
1968-11-01,1.23446
1968-12-01,1.23034
1969-01-01,1.22969
1969-02-01,1.23184
1969-03-01,1.22161
1969-04-01,1.22039
1969-05-01,1.21978
1969-06-01,1.21585
1969-07-01,1.21467
1969-08-01,1.21409
1969-09-01,1.21294
1969-10-01,1.21180
1969-11-01,1.20800
1969-12-01,1.20690
1970-01-01,1.20317
1970-02-01,1.20210
1970-03-01,1.20104
1970-04-01,1.19740
1970-05-01,1.19689
1970-06-01,1.19588
1970-07-01,1.19537
1970-08-01,1.19744
1970-09-01,1.19388
1970-10-01,1.19543
1970-11-01,1.19192
1970-12-01,1.19598
1971-01-01,1.19549
1971-02-01,1.20301
1971-03-01,1.20250
1971-04-01,1.20449
