"","outflow","price","gap"
"1",1,50,100
"2",1,50,100
"3",1,50,100
"4",1,50,100
"5",1,50,100
"6",1,50,100
"7",1,50,100
"8",1,50,100
"9",1,50,100
"10",1,50,100
"11",1,50,100
"12",1,50,100
"13",1,50,100
"14",1,50,100
"15",1,50,100
"16",1,50,100
"17",1,50,100
"18",1,50,100
"19",1,50,100
"20",1,50,100
"21",1,50,100
"22",1,50,100
"23",1,50,100
"24",1,50,100
"25",1,50,100
"26",1,50,100
"27",1,50,100
"28",1,50,100
"29",1,50,100
"30",1,50,100
"31",1,50,100
"32",1,50,100
"33",1,50,100
"34",1,50,100
"35",1,50,100
"36",1,50,100
"37",1,50,100
"38",1,50,100
"39",1,50,100
"40",1,50,100
"41",1,50,100
"42",1,50,100
"43",1,50,100
"44",1,50,100
"45",1,50,100
"46",1,50,100
"47",1,50,100
"48",1,50,100
"49",1,50,100
"50",1,50,100
"51",1,50,100
"52",1,50,100
"53",1,50,100
"54",1,50,100
"55",1,50,100
"56",2,50,100
"57",2,50,100
"58",1,50,100
"59",2,50,100
"60",2,50,100
"61",2,50,100
"62",2,50,100
"63",2,50,100
"64",2,50,100
"65",2,50,100
"66",2,50,100
"67",2,50,100
"68",2,50,100
"69",2,50,100
"70",2,50,100
"71",2,50,100
"72",2,50,100
"73",2,50,100
"74",2,50,100
"75",2,50,100
"76",2,50,100
"77",3,50,100
"78",3,50,100
"79",3,50,100
"80",3,50,100
"81",3,50,100
"82",3,50,100
"83",3,50,100
"84",3,50,100
"85",3,50,100
"86",3,50,100
"87",3,50,100
"88",3,50,100
"89",3,50,100
"90",3,50,100
"91",3,50,100
"92",4,50,100
"93",4,50,100
"94",4,50,100
"95",4,50,100
"96",4,50,100
"97",4,50,100
"98",4,50,100
"99",4,50,100
"100",4,50,100
"101",4,50,100
"102",4,50,100
"103",4,50,100
"104",4,50,100
"105",4,50,100
"106",4,50,100
"107",4,50,100
"108",5,50,100
"109",5,50,100
"110",5,50,100
"111",5,50,100
"112",4,50,100
"113",5,50,100
"114",5,50,100
"115",5,50,100
"116",5,50,100
"117",5,50,100
"118",5,50,100
"119",5,50,100
"120",5,50,100
"121",5,50,100
"122",5,50,100
"123",5,50,100
"124",5,50,100
"125",5,50,100
"126",5,50,100
"127",5,50,100
"128",5,50,100
"129",6,50,100
"130",6,50,100
"131",6,50,100
"132",6,50,100
"133",6,50,100
"134",6,50,100
"135",6,50,100
"136",6,50,100
"137",6,50,100
"138",6,50,100
"139",6,50,100
"140",6,50,100
"141",6,50,100
"142",6,50,100
"143",6,50,100
"144",6,50,100
"145",6,50,100
"146",6,50,100
"147",6,50,100
"148",6,50,100
"149",6,50,100
"150",7,50,100
"151",7,50,100
"152",7,51,100
"153",7,51,100
"154",7,51,100
"155",8,51,100
"156",8,51,100
"157",8,51,100
"158",8,51,100
"159",8,51,100
"160",8,51,100
"161",8,51,100
"162",8,51,100
"163",9,51,100
"164",9,51,100
"165",9,51,100
"166",9,51,100
"167",9,51,100
"168",9,51,100
"169",9,51,100
"170",9,51,100
"171",9,51,100
"172",9,51,100
"173",9,51,100
"174",9,51,100
"175",10,51,100
"176",10,51,100
"177",10,51,100
"178",10,51,100
"179",10,51,100
"180",10,51,100
"181",10,51,100
"182",10,51,100
"183",11,51,100
"184",11,51,100
"185",11,51,100
"186",11,51,100
"187",11,51,100
"188",11,51,100
"189",11,51,100
"190",11,51,100
"191",12,51,100
"192",12,51,100
"193",12,51,100
